name,source_path,copy_path,image_name
Yao_Ming,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Yao_Ming\Yao_Ming_0007.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Yao_Ming\Yao_Ming_0007.jpg,Yao_Ming_0007.jpg
Yao_Ming,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Yao_Ming\Yao_Ming_0006.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Yao_Ming\Yao_Ming_0006.jpg,Yao_Ming_0006.jpg
Mireya_Moscoso,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Mireya_Moscoso\Mireya_Moscoso_0002.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Mireya_Moscoso\Mireya_Moscoso_0002.jpg,Mireya_Moscoso_0002.jpg
Mireya_Moscoso,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Mireya_Moscoso\Mireya_Moscoso_0005.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Mireya_Moscoso\Mireya_Moscoso_0005.jpg,Mireya_Moscoso_0005.jpg
Andre_Agassi,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Andre_Agassi\Andre_Agassi_0010.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Andre_Agassi\Andre_Agassi_0010.jpg,Andre_Agassi_0010.jpg
Andre_Agassi,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Andre_Agassi\Andre_Agassi_0006.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Andre_Agassi\Andre_Agassi_0006.jpg,Andre_Agassi_0006.jpg
Jiri_Novak,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Jiri_Novak\Jiri_Novak_0008.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Jiri_Novak\Jiri_Novak_0008.jpg,Jiri_Novak_0008.jpg
Jiri_Novak,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Jiri_Novak\Jiri_Novak_0010.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Jiri_Novak\Jiri_Novak_0010.jpg,Jiri_Novak_0010.jpg
Jackie_Chan,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Jackie_Chan\Jackie_Chan_0011.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Jackie_Chan\Jackie_Chan_0011.jpg,Jackie_Chan_0011.jpg
Jackie_Chan,E:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\data\lfw\Jackie_Chan\Jackie_Chan_0010.jpg,e:\PBL6\SmartFace-AIoT-Based-Staff-Management-Attendance-System\face_auth\evaluation\lfw_demo_impostors\Jackie_Chan\Jackie_Chan_0010.jpg,Jackie_Chan_0010.jpg
